respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample,east_youth,age_1990,age_2023,dose_years,born_after_1990,gdr_exposed,gdr_socialized_10plus
2257,-8,0.5408545025487828,1.0,2.0,1.0,1981.0,2.0,3.0,1000.0,150.0,16.0,-8,,,0,0,1,9.0,42.0,9.0,0,1,0
2258,91,1.2038247711023997,1.0,1.0,4.0,1955.0,2.0,2.0,813.0,80.0,1.0,91,0,,1,0,0,35.0,68.0,0.0,0,0,0
2259,4,1.2075648348440184,1.0,1.0,4.0,1948.0,1.0,5.0,3500.0,10.0,11.0,4,0,0,1,1,0,42.0,75.0,0.0,0,0,0
2260,-8,1.2524284086434012,1.0,1.0,4.0,1960.0,2.0,2.0,850.0,10.0,11.0,-8,,,0,0,0,30.0,63.0,0.0,0,0,0
2261,-8,1.2075648348440184,1.0,1.0,4.0,1995.0,3.0,5.0,600.0,90.0,1.0,-8,,,0,0,0,-5.0,28.0,0.0,1,0,0
2262,1,0.5445972257083529,1.0,2.0,1.0,1962.0,2.0,5.0,4250.0,140.0,15.0,1,0,0,1,1,1,28.0,61.0,18.0,0,1,1
2263,4,1.2038247711023997,1.0,1.0,4.0,1985.0,1.0,5.0,,90.0,8.0,4,0,0,1,1,0,5.0,38.0,0.0,0,0,0
2264,3,1.2524284086434012,1.0,1.0,4.0,1942.0,1.0,5.0,6000.0,50.0,4.0,3,0,0,1,1,0,48.0,81.0,0.0,0,0,0
2265,6,0.5011444524580629,1.0,2.0,1.0,1953.0,1.0,5.0,967.0,150.0,16.0,6,0,0,1,1,1,37.0,70.0,18.0,0,1,1
2266,1,1.2038247711023997,1.0,1.0,4.0,1948.0,2.0,3.0,560.0,90.0,2.0,1,0,0,1,1,0,42.0,75.0,0.0,0,0,0
2267,-50,1.2524284086434012,3.0,1.0,,1992.0,2.0,2.0,1750.0,90.0,95.0,-50,,,0,0,,-2.0,31.0,,1,,
2268,4,1.2038247711023997,1.0,1.0,4.0,1996.0,2.0,5.0,2625.0,30.0,7.0,4,0,0,1,1,0,-6.0,27.0,0.0,1,0,0
2269,1,1.2075648348440184,1.0,1.0,4.0,1964.0,1.0,2.0,3000.0,90.0,2.0,1,0,0,1,1,0,26.0,59.0,0.0,0,0,0
2270,-8,1.2524284086434012,1.0,1.0,4.0,1947.0,2.0,2.0,970.0,90.0,2.0,-8,,,0,0,0,43.0,76.0,0.0,0,0,0
2271,-9,0.5445972257083529,1.0,2.0,1.0,1980.0,2.0,3.0,2375.0,130.0,14.0,-9,,,0,0,1,10.0,43.0,10.0,0,1,1
2272,91,1.2524284086434012,2.0,1.0,4.0,1980.0,2.0,5.0,3260.0,50.0,9.0,91,0,,1,0,0,10.0,43.0,0.0,0,0,0
2273,2,1.2038247711023997,1.0,1.0,4.0,1964.0,2.0,2.0,688.0,80.0,1.0,2,0,0,1,1,0,26.0,59.0,0.0,0,0,0
2274,91,0.5011444524580629,1.0,2.0,1.0,1953.0,1.0,4.0,700.0,120.0,14.0,91,0,,1,0,1,37.0,70.0,18.0,0,1,1
2275,3,0.5408545025487828,1.0,2.0,1.0,1985.0,2.0,5.0,4000.0,120.0,12.0,3,0,0,1,1,1,5.0,38.0,5.0,0,1,0
2276,90,1.2075648348440184,1.0,1.0,4.0,1960.0,1.0,5.0,1875.0,50.0,8.0,90,0,0,1,1,0,30.0,63.0,0.0,0,0,0
2277,42,0.5445972257083529,1.0,2.0,1.0,1956.0,1.0,5.0,,150.0,16.0,42,1,1,1,1,1,34.0,67.0,18.0,0,1,1
2278,42,1.2524284086434012,2.0,1.0,,1952.0,2.0,,813.0,50.0,95.0,42,1,1,1,1,,38.0,71.0,,0,,
2279,1,1.2075648348440184,1.0,1.0,4.0,1977.0,2.0,5.0,,80.0,1.0,1,0,0,1,1,0,13.0,46.0,0.0,0,0,0
2280,4,0.5011444524580629,1.0,2.0,3.0,1958.0,2.0,5.0,2700.0,120.0,6.0,4,0,0,1,1,0,32.0,65.0,0.0,0,0,0
2281,1,1.2038247711023997,1.0,1.0,4.0,1944.0,1.0,5.0,2125.0,80.0,1.0,1,0,0,1,1,0,46.0,79.0,0.0,0,0,0
2282,-8,1.2038247711023997,1.0,1.0,4.0,1990.0,2.0,5.0,1313.0,50.0,8.0,-8,,,0,0,0,0.0,33.0,0.0,0,0,0
2283,-50,1.2075648348440184,3.0,1.0,,1970.0,2.0,-33.0,,50.0,95.0,-50,,,0,0,,20.0,53.0,,0,,
2284,42,1.2524284086434012,1.0,1.0,4.0,1976.0,1.0,3.0,,80.0,1.0,42,1,1,1,1,0,14.0,47.0,0.0,0,0,0
2285,-50,1.2524284086434012,3.0,1.0,,1994.0,1.0,1.0,1500.0,30.0,95.0,-50,,,0,0,,-4.0,29.0,,1,,
2286,-50,1.2038247711023997,3.0,1.0,,1946.0,1.0,3.0,1438.0,70.0,95.0,-50,,,0,0,,44.0,77.0,,0,,
2287,1,1.2524284086434012,1.0,1.0,4.0,1951.0,1.0,2.0,2750.0,50.0,8.0,1,0,0,1,1,0,39.0,72.0,0.0,0,0,0
2288,-50,1.2524284086434012,3.0,1.0,,1959.0,2.0,2.0,1875.0,80.0,95.0,-50,,,0,0,,31.0,64.0,,0,,
2289,42,1.2038247711023997,1.0,1.0,4.0,1963.0,1.0,5.0,3250.0,90.0,2.0,42,1,1,1,1,0,27.0,60.0,0.0,0,0,0
2290,1,0.5445972257083529,1.0,2.0,1.0,1961.0,2.0,3.0,1875.0,140.0,15.0,1,0,0,1,1,1,29.0,62.0,18.0,0,1,1
2291,42,1.2075648348440184,1.0,1.0,4.0,1977.0,1.0,2.0,450.0,50.0,8.0,42,1,1,1,1,0,13.0,46.0,0.0,0,0,0
2292,42,0.5445972257083529,1.0,2.0,1.0,1962.0,1.0,3.0,2125.0,140.0,15.0,42,1,1,1,1,1,28.0,61.0,18.0,0,1,1
2293,6,1.2038247711023997,1.0,1.0,4.0,1963.0,1.0,2.0,1438.0,80.0,1.0,6,0,0,1,1,0,27.0,60.0,0.0,0,0,0
2294,-7,1.2038247711023997,1.0,1.0,4.0,1986.0,1.0,5.0,3700.0,50.0,8.0,-7,,,0,0,0,4.0,37.0,0.0,0,0,0
2295,42,1.2075648348440184,1.0,1.0,4.0,1929.0,2.0,2.0,450.0,80.0,1.0,42,1,1,1,1,0,61.0,94.0,0.0,0,0,0
2296,-9,1.2038247711023997,3.0,1.0,,1995.0,1.0,5.0,7300.0,20.0,95.0,-9,,,0,0,,-5.0,28.0,,1,,
2297,1,1.2075648348440184,1.0,1.0,4.0,1957.0,1.0,2.0,2875.0,50.0,8.0,1,0,0,1,1,0,33.0,66.0,0.0,0,0,0
2298,-7,1.2038247711023997,1.0,1.0,4.0,1991.0,2.0,4.0,2875.0,30.0,7.0,-7,,,0,0,0,-1.0,32.0,0.0,1,0,0
2299,4,1.2524284086434012,1.0,1.0,4.0,1962.0,2.0,3.0,,50.0,8.0,4,0,0,1,1,0,28.0,61.0,0.0,0,0,0
2300,3,1.2524284086434012,1.0,1.0,4.0,2002.0,1.0,3.0,1063.0,30.0,7.0,3,0,0,1,1,0,-12.0,21.0,0.0,1,0,0
2301,42,1.2075648348440184,1.0,1.0,,1982.0,2.0,2.0,1625.0,80.0,,42,1,1,1,1,,8.0,41.0,,0,,
2302,1,1.2075648348440184,2.0,1.0,4.0,1994.0,1.0,5.0,1900.0,50.0,8.0,1,0,0,1,1,0,-4.0,29.0,0.0,1,0,0
2303,2,1.2038247711023997,1.0,1.0,4.0,1947.0,2.0,3.0,2375.0,111.0,4.0,2,0,0,1,1,0,43.0,76.0,0.0,0,0,0
2304,1,1.2038247711023997,1.0,1.0,4.0,1956.0,1.0,2.0,2125.0,60.0,6.0,1,0,0,1,1,0,34.0,67.0,0.0,0,0,0
2305,91,1.2075648348440184,1.0,1.0,4.0,1992.0,2.0,2.0,1313.0,90.0,2.0,91,0,,1,0,0,-2.0,31.0,0.0,1,0,0
2306,1,1.2038247711023997,1.0,1.0,4.0,1948.0,1.0,3.0,3750.0,10.0,11.0,1,0,0,1,1,0,42.0,75.0,0.0,0,0,0
2307,1,0.5011444524580629,1.0,2.0,,1943.0,2.0,5.0,3250.0,130.0,18.0,1,0,0,1,1,,47.0,80.0,,0,,
2308,-8,0.5445972257083529,1.0,2.0,1.0,1931.0,2.0,1.0,1313.0,130.0,14.0,-8,,,0,0,1,59.0,92.0,18.0,0,1,1
2309,1,1.2075648348440184,1.0,1.0,4.0,2000.0,1.0,3.0,1750.0,30.0,7.0,1,0,0,1,1,0,-10.0,23.0,0.0,1,0,0
2310,4,1.2524284086434012,1.0,1.0,4.0,1964.0,2.0,5.0,1900.0,50.0,8.0,4,0,0,1,1,0,26.0,59.0,0.0,0,0,0
2311,1,1.2524284086434012,1.0,1.0,4.0,1929.0,1.0,5.0,4500.0,90.0,2.0,1,0,0,1,1,0,61.0,94.0,0.0,0,0,0
2312,2,1.2038247711023997,1.0,1.0,4.0,2002.0,2.0,5.0,520.0,90.0,8.0,2,0,0,1,1,0,-12.0,21.0,0.0,1,0,0
2313,91,0.5011444524580629,1.0,2.0,1.0,1960.0,1.0,5.0,1340.0,130.0,15.0,91,0,,1,0,1,30.0,63.0,18.0,0,1,1
