respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample,east_youth,age_1990,age_2023,dose_years,born_after_1990,gdr_exposed,gdr_socialized_10plus
588,2,1.2038247711023997,1.0,1.0,4.0,2000.0,2.0,5.0,,40.0,3.0,2,0,0,1,1,0,-10.0,23.0,0.0,1,0,0
589,4,0.5445972257083529,1.0,2.0,3.0,1984.0,1.0,5.0,3250.0,120.0,11.0,4,0,0,1,1,0,6.0,39.0,0.0,0,0,0
590,42,0.5445972257083529,1.0,2.0,1.0,1958.0,2.0,3.0,813.0,140.0,15.0,42,1,1,1,1,1,32.0,65.0,18.0,0,1,1
591,3,1.2075648348440184,1.0,1.0,4.0,1993.0,2.0,4.0,1600.0,50.0,8.0,3,0,0,1,1,0,-3.0,30.0,0.0,1,0,0
592,3,1.2524284086434012,1.0,1.0,4.0,1971.0,2.0,5.0,2875.0,90.0,6.0,3,0,0,1,1,0,19.0,52.0,0.0,0,0,0
594,42,1.2038247711023997,1.0,1.0,4.0,1971.0,2.0,2.0,1500.0,90.0,7.0,42,1,1,1,1,0,19.0,52.0,0.0,0,0,0
595,42,1.2524284086434012,1.0,1.0,4.0,1990.0,1.0,2.0,2875.0,60.0,6.0,42,1,1,1,1,0,0.0,33.0,0.0,0,0,0
596,42,0.5011444524580629,1.0,2.0,1.0,1963.0,1.0,3.0,1000.0,120.0,13.0,42,1,1,1,1,1,27.0,60.0,18.0,0,1,1
597,6,0.5408545025487828,1.0,2.0,1.0,1950.0,2.0,4.0,2125.0,140.0,15.0,6,0,0,1,1,1,40.0,73.0,18.0,0,1,1
598,2,0.5011444524580629,1.0,2.0,1.0,1974.0,1.0,3.0,,120.0,12.0,2,0,0,1,1,1,16.0,49.0,16.0,0,1,1
599,42,0.5011444524580629,1.0,2.0,1.0,1988.0,1.0,3.0,2300.0,150.0,16.0,42,1,1,1,1,1,2.0,35.0,2.0,0,1,0
600,2,1.2075648348440184,1.0,1.0,4.0,1967.0,2.0,2.0,1100.0,50.0,8.0,2,0,0,1,1,0,23.0,56.0,0.0,0,0,0
601,3,1.2075648348440184,1.0,1.0,4.0,1935.0,2.0,5.0,1875.0,30.0,8.0,3,0,0,1,1,0,55.0,88.0,0.0,0,0,0
602,3,1.2524284086434012,2.0,1.0,4.0,1998.0,2.0,4.0,2500.0,80.0,1.0,3,0,0,1,1,0,-8.0,25.0,0.0,1,0,0
603,4,0.5445972257083529,1.0,2.0,1.0,1986.0,2.0,5.0,1438.0,140.0,15.0,4,0,0,1,1,1,4.0,37.0,4.0,0,1,0
604,2,0.5445972257083529,1.0,2.0,1.0,1938.0,1.0,4.0,1875.0,140.0,15.0,2,0,0,1,1,1,52.0,85.0,18.0,0,1,1
605,4,1.2075648348440184,1.0,1.0,2.0,1981.0,2.0,4.0,881.0,90.0,12.0,4,0,0,1,1,1,9.0,42.0,9.0,0,1,0
606,3,1.2524284086434012,1.0,1.0,4.0,1949.0,1.0,-33.0,2250.0,90.0,2.0,3,0,0,1,1,0,41.0,74.0,0.0,0,0,0
607,2,0.5011444524580629,1.0,2.0,1.0,1978.0,1.0,5.0,3500.0,140.0,15.0,2,0,0,1,1,1,12.0,45.0,12.0,0,1,1
608,3,1.2524284086434012,1.0,1.0,4.0,1990.0,1.0,5.0,2600.0,90.0,2.0,3,0,0,1,1,0,0.0,33.0,0.0,0,0,0
609,4,1.2038247711023997,1.0,1.0,4.0,2004.0,2.0,1.0,813.0,90.0,2.0,4,0,0,1,1,0,-14.0,19.0,0.0,1,0,0
610,1,1.2524284086434012,1.0,1.0,4.0,1978.0,1.0,3.0,2750.0,80.0,1.0,1,0,0,1,1,0,12.0,45.0,0.0,0,0,0
611,2,1.2075648348440184,1.0,1.0,4.0,1951.0,2.0,3.0,1700.0,50.0,8.0,2,0,0,1,1,0,39.0,72.0,0.0,0,0,0
613,6,0.5408545025487828,1.0,2.0,1.0,1965.0,2.0,5.0,2500.0,120.0,14.0,6,0,0,1,1,1,25.0,58.0,18.0,0,1,1
614,1,0.5011444524580629,1.0,2.0,1.0,1954.0,2.0,5.0,1313.0,160.0,14.0,1,0,0,1,1,1,36.0,69.0,18.0,0,1,1
615,2,1.2524284086434012,1.0,1.0,4.0,1988.0,2.0,4.0,2000.0,50.0,8.0,2,0,0,1,1,0,2.0,35.0,0.0,0,0,0
616,2,0.5011444524580629,1.0,2.0,1.0,1930.0,2.0,2.0,1200.0,160.0,17.0,2,0,0,1,1,1,60.0,93.0,18.0,0,1,1
619,2,0.5011444524580629,1.0,2.0,1.0,1953.0,2.0,3.0,1875.0,120.0,12.0,2,0,0,1,1,1,37.0,70.0,18.0,0,1,1
620,1,1.2524284086434012,1.0,1.0,4.0,1955.0,2.0,2.0,940.0,90.0,2.0,1,0,0,1,1,0,35.0,68.0,0.0,0,0,0
621,1,1.2075648348440184,1.0,1.0,2.0,1949.0,2.0,2.0,,90.0,15.0,1,0,0,1,1,1,41.0,74.0,18.0,0,1,1
630,1,0.5408545025487828,1.0,2.0,1.0,1961.0,2.0,2.0,938.0,140.0,15.0,1,0,0,1,1,1,29.0,62.0,18.0,0,1,1
631,2,1.2075648348440184,1.0,1.0,4.0,1940.0,1.0,2.0,3750.0,80.0,1.0,2,0,0,1,1,0,50.0,83.0,0.0,0,0,0
632,4,1.2038247711023997,1.0,1.0,4.0,1984.0,2.0,5.0,1000.0,60.0,6.0,4,0,0,1,1,0,6.0,39.0,0.0,0,0,0
633,2,0.5445972257083529,1.0,2.0,1.0,1941.0,2.0,4.0,,120.0,15.0,2,0,0,1,1,1,49.0,82.0,18.0,0,1,1
634,42,0.5445972257083529,1.0,2.0,1.0,1979.0,2.0,2.0,1313.0,130.0,14.0,42,1,1,1,1,1,11.0,44.0,11.0,0,1,1
635,42,1.2075648348440184,1.0,1.0,4.0,1952.0,2.0,3.0,1400.0,50.0,8.0,42,1,1,1,1,0,38.0,71.0,0.0,0,0,0
636,2,0.5445972257083529,1.0,2.0,1.0,1967.0,2.0,3.0,1875.0,130.0,14.0,2,0,0,1,1,1,23.0,56.0,18.0,0,1,1
638,1,1.2524284086434012,1.0,1.0,4.0,1965.0,2.0,5.0,2875.0,60.0,1.0,1,0,0,1,1,0,25.0,58.0,0.0,0,0,0
639,1,1.2524284086434012,1.0,1.0,4.0,1945.0,1.0,2.0,1520.0,60.0,6.0,1,0,0,1,1,0,45.0,78.0,0.0,0,0,0
640,42,1.2075648348440184,1.0,1.0,2.0,1960.0,1.0,2.0,250.0,10.0,14.0,42,1,1,1,1,1,30.0,63.0,18.0,0,1,1
642,3,0.5408545025487828,1.0,2.0,1.0,1960.0,1.0,5.0,8000.0,130.0,13.0,3,0,0,1,1,1,30.0,63.0,18.0,0,1,1
644,4,1.2524284086434012,1.0,1.0,4.0,1952.0,2.0,5.0,800.0,80.0,2.0,4,0,0,1,1,0,38.0,71.0,0.0,0,0,0
645,42,0.5408545025487828,1.0,2.0,1.0,1974.0,2.0,3.0,2100.0,140.0,15.0,42,1,1,1,1,1,16.0,49.0,16.0,0,1,1
646,2,1.2038247711023997,1.0,1.0,4.0,1931.0,2.0,3.0,,90.0,2.0,2,0,0,1,1,0,59.0,92.0,0.0,0,0,0
648,3,1.2075648348440184,1.0,1.0,4.0,1987.0,1.0,5.0,2625.0,100.0,2.0,3,0,0,1,1,0,3.0,36.0,0.0,0,0,0
649,3,1.2075648348440184,1.0,1.0,4.0,1993.0,1.0,5.0,,10.0,11.0,3,0,0,1,1,0,-3.0,30.0,0.0,1,0,0
