respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
41,1,0,1.2075648348440184,1948.0,42.0,0.20412206224482743,0.17699990818288408,0.07633069597173814,-1.0598973272176684,0.08275679218046114
42,0,1,0.5011444524580629,1983.0,7.0,0.16295587367623762,0.3792583390861996,0.11677094055281349,-2.064880928426794,0.17653426267133135
43,0,0,1.2524284086434012,1974.0,16.0,0.17275780756139048,0.26837811118520943,0.1579829353322279,0.3013706081704669,0.2487959134682519
44,0,0,1.2038247711023995,1943.0,47.0,0.24438313435621437,0.05357871804377976,0.0042342095874052035,0.05494815466905889,0.06091962916338804
45,0,0,1.2075648348440184,1990.0,0.0,0.18688408656206829,0.0674248855659123,0.12397525760033623,0.09591898141379109,-0.050110762830688396
46,0,0,1.2524284086434012,1956.0,34.0,0.19070783365011296,0.3300318596824222,0.03843041770488969,0.33908789903570546,0.3213296903438307
47,0,0,1.2524284086434012,1961.0,29.0,0.2213194344480067,0.21533382641670543,0.031702728013143756,0.22434449156584027,0.19859857274431342
48,0,1,0.5011444524580629,1957.0,33.0,0.22918924935207763,0.13615944555332551,0.009994322834652864,-0.46792664178708343,0.11523615645062359
50,0,1,0.5011444524580629,1998.0,-8.0,0.14515322457671043,0.18604102878364806,0.0669329214213542,-1.162579084404702,0.09089874240788472
51,0,1,0.5445972257083529,1954.0,36.0,0.22661491277742782,0.19571790854846718,0.046546806178269465,-0.7144874545611087,0.147139061391684
52,0,0,1.2524284086434012,1990.0,0.0,0.1530715904074338,0.3132671529000417,0.16200278754738476,0.34254710626970775,0.1345260896482849
53,1,0,1.2524284086434012,1950.0,40.0,0.20165907930683927,0.2390274140346367,0.06808822480415865,-0.9963713557265654,0.21879951741705606
54,0,0,1.2524284086434012,1986.0,4.0,0.1588246288154708,0.30577514408844647,0.2234967887444868,0.34797418572682304,0.13158966335407382
55,0,0,1.2524284086434012,1999.0,-9.0,0.1481632541839938,0.22249120774764358,0.07082476633524941,0.23481003281429325,0.084031161841051
56,0,0,1.2075648348440184,1950.0,40.0,0.20165907930683927,0.2390274140346367,0.06808822480415865,0.2562263429254696,0.21879951741705606
