respid,pv01,wghtpew,german,eastwest,dg03,yborn,sex,educ,inc,land,dg10,pv01_raw,y_afd_any,y_afd_vote,is_eligible_party_answer,is_voter_intent_sample
4320,1,1.2524284086434012,1,1,4,1939,2,2,1100,50,2,1,0,0,1,1
4321,2,0.5445972257083529,1,2,3,1989,2,5,2100,120,7,2,0,0,1,1
4322,-8,0.5445972257083529,1,2,1,1982,2,5,1875,140,15,-8,,,0,0
4323,2,1.2524284086434012,1,1,4,1980,1,5,3250,50,6,2,0,0,1,1
4324,-7,1.2038247711023997,2,1,4,1994,1,5,3750,111,4,-7,,,0,0
4325,4,1.2075648348440184,1,1,2,1987,2,4,3470,90,15,4,0,0,1,1
4326,-9,1.2524284086434012,1,1,4,1965,2,3,1188,60,6,-9,,,0,0
4327,4,1.2038247711023997,1,1,4,1964,2,5,2625,60,6,4,0,0,1,1
4328,-7,1.2524284086434012,1,1,4,1936,2,2,1150,50,8,-7,,,0,0
4329,-9,1.2075648348440184,3,1,4,1991,1,-9,-9,50,8,-9,,,0,0
4330,1,0.5408545025487828,1,2,1,1963,1,4,3400,150,16,1,0,0,1,1
4331,91,0.5445972257083529,1,2,1,1956,2,5,1313,150,17,91,0,,1,0
4332,2,1.2524284086434012,1,1,4,1967,1,6,150,50,8,2,0,0,1,1
4333,4,1.2038247711023997,1,1,4,1957,2,3,938,30,9,4,0,0,1,1
4334,1,1.2524284086434012,1,1,4,1950,1,5,2700,50,11,1,0,0,1,1
4335,4,1.2075648348440184,1,1,4,1969,2,4,5500,30,7,4,0,0,1,1
4336,1,1.2524284086434012,1,1,4,1960,1,3,2100,90,2,1,0,0,1,1
4337,-50,0.5445972257083529,3,2,-10,1990,1,-33,-50,120,95,-50,,,0,0
4338,-8,0.5011444524580629,1,2,1,1985,2,3,2100,150,16,-8,,,0,0
4339,91,0.5408545025487828,1,2,1,1950,2,4,2500,140,15,91,0,,1,0
4340,1,1.2038247711023997,1,1,4,1970,1,5,3250,50,11,1,0,0,1,1
4341,2,0.5011444524580629,1,2,1,1956,1,5,2500,150,15,2,0,0,1,1
4342,2,1.2524284086434012,1,1,4,1947,2,5,3250,111,1,2,0,0,1,1
4343,42,0.5445972257083529,1,2,1,1966,2,4,2125,160,16,42,1,1,1,1
4344,42,0.5408545025487828,1,2,1,1987,1,3,1900,140,15,42,1,1,1,1
4345,-7,1.2524284086434012,1,1,4,1970,1,2,1100,90,2,-7,,,0,0
4346,91,1.2038247711023997,1,1,4,1957,1,4,2850,10,11,91,0,,1,0
4347,3,0.5408545025487828,1,2,1,1969,2,3,1050,140,15,3,0,0,1,1
4348,91,0.5011444524580629,1,2,1,1952,2,5,1250,150,17,91,0,,1,0
4349,1,1.2524284086434012,1,1,4,1971,2,3,2001,80,1,1,0,0,1,1
4350,42,1.2524284086434012,1,1,4,1973,1,5,3000,50,8,42,1,1,1,1
4351,4,1.2524284086434012,1,1,4,1998,2,5,938,80,1,4,0,0,1,1
4352,1,1.2075648348440184,1,1,4,1960,1,4,900,90,2,1,0,0,1,1
4353,3,0.5011444524580629,1,2,1,1940,2,2,1400,150,16,3,0,0,1,1
4354,2,0.5011444524580629,1,2,1,1953,1,5,1783,120,12,2,0,0,1,1
4355,-8,1.2075648348440184,1,1,4,1982,1,2,-7,30,7,-8,,,0,0
4356,1,1.2524284086434012,1,1,4,1964,2,5,150,60,6,1,0,0,1,1
4357,3,1.2075648348440184,1,1,4,1940,2,2,1313,20,11,3,0,0,1,1
4358,2,0.5445972257083529,1,2,1,1969,2,5,3250,112,13,2,0,0,1,1
4359,90,1.2524284086434012,1,1,4,1983,2,4,1800,90,2,90,0,0,1,1
4360,6,0.5408545025487828,1,2,1,1943,1,5,1800,160,17,6,0,0,1,1
4361,2,1.2524284086434012,1,1,4,1966,2,3,2625,70,9,2,0,0,1,1
4362,-7,1.2075648348440184,1,1,4,1963,2,2,-9,80,1,-7,,,0,0
4363,-8,1.2075648348440184,1,1,4,1992,2,4,2200,50,8,-8,,,0,0
4364,1,1.2075648348440184,1,1,4,1977,1,5,4000,30,7,1,0,0,1,1
4365,3,0.5011444524580629,1,2,1,1952,2,5,-9,130,15,3,0,0,1,1
4366,-8,1.2524284086434012,1,1,4,2004,2,3,890,90,2,-8,,,0,0
4367,4,1.2038247711023997,2,1,-10,1992,2,6,2500,80,95,4,0,0,1,1
4368,2,1.2038247711023997,1,1,4,1945,2,5,2000,20,4,2,0,0,1,1
4369,2,1.2075648348440184,1,1,4,1957,1,2,1900,60,6,2,0,0,1,1
4370,1,1.2038247711023997,1,1,4,1956,1,2,6750,90,9,1,0,0,1,1
4371,4,1.2075648348440184,1,1,4,1989,2,5,3700,20,5,4,0,0,1,1
4372,1,1.2524284086434012,1,1,4,1952,1,5,3100,50,8,1,0,0,1,1
4373,1,1.2075648348440184,1,1,4,1953,2,3,2500,30,7,1,0,0,1,1
4374,2,1.2524284086434012,1,1,4,1995,1,4,1125,100,10,2,0,0,1,1
4375,4,1.2524284086434012,1,1,4,1958,2,5,4,50,8,4,0,0,1,1
4376,91,1.2038247711023997,1,1,4,1951,1,2,1313,30,7,91,0,,1,0
4377,42,1.2524284086434012,1,1,4,1949,1,2,2700,80,1,42,1,1,1,1
4378,90,1.2038247711023997,1,1,4,1963,1,3,3500,90,2,90,0,0,1,1
4379,-8,1.2038247711023997,1,1,4,1960,1,4,2375,40,3,-8,,,0,0
4380,91,1.2038247711023997,1,1,4,1967,2,5,3750,80,8,91,0,,1,0
4381,1,1.2524284086434012,1,1,4,2000,1,3,860,90,2,1,0,0,1,1
4382,90,0.5011444524580629,1,2,1,1974,1,5,2400,140,15,90,0,0,1,1
4383,91,1.2038247711023997,1,1,4,1984,1,2,-9,80,1,91,0,,1,0
