respid,y,t,w,yborn,age_1990,e_hat,m1_hat,m0_hat,psi_aipw,cate_hat
43,0,0,1.2524284086434012,1974.0,16.0,0.12134422342339099,0.24133015017865175,0.12291825504534847,0.2583054214972438,0.29113062544090085
44,0,0,1.2038247711023995,1943.0,47.0,0.2724403900657155,0.07441321500462704,0.011473277307103338,0.07870947348599283,0.04774405172989076
45,0,0,1.2075648348440184,1990.0,0.0,0.09845407176592194,0.16939356723067875,0.13116041305842358,0.1837170490586053,0.036980096199093176
46,0,0,1.2524284086434012,1956.0,34.0,0.18414376940627472,0.2522823073847002,0.02717803743627911,0.25841655760050014,0.2907273024222001
47,0,0,1.2524284086434012,1961.0,29.0,0.19417954586579578,0.2717242718208367,0.06701753162853881,0.2878735688384438,0.18510914339070403
48,0,1,0.5011444524580629,1957.0,33.0,0.21150031956070242,0.1462091847161071,0.034476855603399796,-0.5795630080281136,0.14029002090493614
51,0,1,0.5445972257083529,1954.0,36.0,0.22391726084766136,0.2046568443579437,0.02014340386730277,-0.7294707855721225,0.11460755327615453
52,0,0,1.2524284086434012,1990.0,0.0,0.08878106137917695,0.3028216627672638,0.21859606999038286,0.3241197178059758,0.154745865279956
53,1,0,1.2524284086434012,1950.0,40.0,0.20052045627830026,0.22647687899615185,0.07001620321031916,-1.0067758373843028,0.2142603425591489
54,0,0,1.2524284086434012,1986.0,4.0,0.09263691977335885,0.3056742770819254,0.21843724495411493,0.32797555203712137,0.07617952815611718
56,0,0,1.2075648348440184,1950.0,40.0,0.21002503844386863,0.24732097358835292,0.08921180815751543,0.27103908409785654,0.2142603425591489
57,0,0,1.2038247711023995,1952.0,38.0,0.2386920189638906,0.14892442606861178,0.04370336081717883,0.16262669070895192,0.15785092679393425
63,1,0,0.5011444524580629,1987.0,3.0,0.08982277691274791,0.3252326548293914,0.1550596633443269,-0.7581520810647622,0.1401149340454693
66,0,0,1.2524284086434012,1948.0,42.0,0.21922434998159016,0.20310140845253272,0.11242469712238726,0.23466775039461474,0.07639730350578791
68,0,0,1.2075648348440184,1974.0,16.0,0.12094205966120684,0.28043919007270735,0.13621526715573673,0.29917988304769727,0.29113062544090085
69,0,1,0.5408545025487828,1958.0,32.0,0.20758495547461786,0.1336552074030123,0.020735291329206675,-0.5309379545383774,0.08428464898503431
70,0,0,0.5445972257083529,1982.0,8.0,0.06922065618262904,0.2675496679313239,0.15780517722442985,0.2792854009909892,0.038013525967623744
71,0,1,0.5011444524580629,1964.0,26.0,0.1535726702914998,0.3049620339177512,0.11571575028115036,-1.7965369507038307,0.22404256755729612
75,0,0,1.2075648348440184,1941.0,49.0,0.2536661049278622,0.1275839312088958,0.0330016918549008,0.13880064089357802,0.0662298046794077
76,0,1,0.5011444524580629,1980.0,10.0,0.12547115212802498,0.16939356723067875,0.07666423966790058,-1.2573305416399638,0.23583343687788358
79,1,1,0.5011444524580629,1959.0,31.0,0.16649913637210692,0.2331791941351683,0.029033544817352513,4.809699903671863,0.2664847206398286
80,0,1,0.5011444524580629,1979.0,11.0,0.1375290461775115,0.1330164299839337,0.07859704486256838,-0.9127685194049755,0.18469742345423568
81,1,0,1.2038247711023995,1981.0,9.0,0.1285105425225696,0.209390853437853,0.06994233134697339,-0.9277562050266748,0.08046577301574868
82,0,0,1.2524284086434012,1961.0,29.0,0.1645196175092466,0.2516476350492029,0.055339581129658366,0.2625448947711259,0.1974507588668177
83,0,0,1.2038247711023995,1973.0,17.0,0.154275368216008,0.22442246102850968,0.06276948673262986,0.23587274320603016,-0.049459248831576964
85,0,0,1.2075648348440184,1983.0,7.0,0.12304429131073107,0.209390853437853,0.11450768457224471,0.22545724853422944,0.03282280747045974
86,0,0,1.2038247711023995,1946.0,44.0,0.2287099436419605,0.12541319752687438,0.0805742676981377,0.14930581233802503,0.038064274033575915
87,1,0,1.2524284086434012,1969.0,21.0,0.13797781083872085,0.32591626047903477,0.14009726917726478,-0.8117223036147725,0.3122652156144874
88,0,0,1.2524284086434012,1950.0,40.0,0.2416702796716771,0.21278858011758517,0.047350672900155,0.22787865249067923,0.1991206310980105
89,0,0,1.2038247711023995,1952.0,38.0,0.23188287264150487,0.23569747076252054,0.047672225146685135,0.2500889901265545,0.15785092679393425
90,1,0,1.2075648348440184,1983.0,7.0,0.09909900269649372,0.3056742770819254,0.2035890995737193,-0.7819308273691603,0.047315634348001935
93,1,0,1.2524284086434012,1979.0,11.0,0.10917518692587491,0.3252326548293914,0.09668308842281853,-0.7854735033594653,0.28617615281356024
97,0,0,1.2524284086434012,1966.0,24.0,0.146610988129116,0.305504640236403,0.10285737093574213,0.3231753866128911,0.28458263461300387
