variable,dtype,missing_share,nunique,top_values
pp22,int64,0.0,6,"{1: 1797, 0: 1620, -11: 1596, -50: 201, -41: 16, -9: 16}"
pp23,int64,0.0,6,"{0: 2052, -11: 1596, 1: 1365, -50: 201, -41: 16, -9: 16}"
pp62,int64,0.0,6,"{0: 2798, -11: 1596, 1: 619, -50: 201, -41: 16, -9: 16}"
im01,int64,0.0,6,"{1: 1890, 2: 1666, -11: 1647, -8: 28, -9: 14, -42: 1}"
is01,int64,0.0,6,"{1: 2099, -11: 1647, 2: 1181, 3: 273, -9: 45, -42: 1}"
pi07,int64,0.0,6,"{1: 1955, -11: 1647, 2: 1502, -8: 68, -9: 65, -42: 9}"
dw07,int64,0.0,6,"{-10: 2592, 2: 1848, 1: 785, -9: 12, -41: 8, -42: 1}"
dw10,int64,0.0,6,"{-10: 2263, 2: 1488, 1: 1477, -9: 8, -41: 6, -42: 4}"
dw17,int64,0.0,6,"{-10: 4956, 1: 223, 3: 33, 2: 21, -41: 8, -9: 5}"
df44,int64,0.0,6,"{1: 4193, 2: 798, 4: 113, 3: 84, -9: 56, -42: 2}"
hh2sex,int64,0.0,6,"{1: 1986, 2: 1912, -10: 1283, -9: 62, -42: 2, -41: 1}"
hh4sex,int64,0.0,6,"{-10: 4342, 1: 447, 2: 430, -9: 24, -42: 2, 3: 1}"
hh8mborn,int64,0.0,6,"{-10: 3584, -15: 1656, 4: 2, 2: 2, 5: 1, 7: 1}"
kh3sex,int64,0.0,6,"{-10: 4827, 2: 207, 1: 193, -9: 12, -41: 5, -42: 2}"
kh4sex,int64,0.0,6,"{-10: 5117, 1: 63, 2: 55, -41: 5, -9: 5, -42: 1}"
kh5sex,int64,0.0,6,"{-10: 5212, 2: 16, 1: 10, -41: 5, -9: 2, -42: 1}"
kh8age,int64,0.0,6,"{-10: 5236, -32: 6, 35: 1, 19: 1, 22: 1, 43: 1}"
rr04,int64,0.0,6,"{1: 1946, -10: 1805, 2: 1329, 3: 123, -9: 40, -42: 3}"
sm02,int64,0.0,6,"{2: 3319, 1: 1021, -10: 737, -9: 167, -8: 1, -42: 1}"
xs07,int64,0.0,6,"{-15: 3243, 1: 1675, 2: 216, 4: 63, 3: 34, 5: 15}"
xs14,int64,0.0,6,"{-15: 3590, 1: 1038, 2: 334, 3: 241, -9: 41, -42: 2}"
xt13a,int64,0.0,6,"{-15: 3590, 6: 1219, 7: 388, 5: 38, -41: 10, 8: 1}"
xi04,int64,0.0,6,"{-15: 3243, 2: 650, 5: 542, 3: 360, 1: 238, 4: 213}"
wghtpew,float64,0.0,6,"{1.2524284086434012: 1330, 1.2038247711023997: 1173, 1.2075648348440184: 1064, 0.5011444524580629: 673, 0.5445972257083529: 525, 0.5408545025487828: 481}"
la01,int64,0.0,7,"{4: 1551, 1: 1041, 2: 973, 5: 954, 3: 704, -9: 19, -42: 4}"
id01,int64,0.0,7,"{3: 2422, 2: 1775, 4: 541, 1: 442, -9: 37, -8: 25, -42: 4}"
mi07,int64,0.0,7,"{2: 2201, -11: 1596, 3: 951, 1: 446, -9: 27, -8: 24, -33: 1}"
